"In linear search, what specific scenario constitutes the best case?",The target key is located at the first index of the list.
"In Python code, the expression `temp.next = None` indicates that `temp` is now the _____.",Last node (Tail).
What happens if a programmer fails to update the 'next' pointer of a predecessor during an SLL deletion?,"The list remains unchanged, and the target node is not actually removed from the sequence."
The height of a balanced Binary Search Tree with $n$ nodes is approximately _____.,$\log n$
The height of a skewed Binary Search Tree with $n$ nodes is _____.,$n$
"In terms of efficiency, how does average case complexity usually compare to worst case complexity?","They often belong to the same complexity class (e.g., both are $O(n)$ for linear search)."
"What determines the ""Minimum Worst Case"" time in a Binary Search Tree analysis?",The minimum possible height of the tree ($O(\log n)$).
A balanced BST search requires approximately how many comparisons if it contains 8 elements?,3
Which computational thinking pillar involves determining if water's chemical formula ($H_2O$) is relevant to the task of drinking?,Abstraction
"In the robot sandwich analogy, what error occurred when given the command ""Take two slices of bread out of the bag""?",The robot might tear one slice into two pieces because it lacks the context of distinct slices.
"When using the `insert_at_middle` function, what does the parameter `x` typically represent?",The target data value after which the new node should be placed.
Which asymptotic notation is used to represent the tight bound or exact class of a function?,Theta ($\theta$)
Is it mathematically correct to use Big-O notation for a best-case analysis?,"Yes, because notations describe functions, and any case can generate a function."
What is the primary limitation of a Singly Linked List compared to a Doubly Linked List?,It cannot be traversed in reverse.
"What data structure logic powers the ""Play Next"" functionality in music apps like Spotify?",Singly Linked List
"In Python SLL implementation, how do you specify a default value of `None` for a node's next pointer in the constructor?",By setting the parameter `next=None` in the `__init__` method signature.
What is the time complexity of accessing an element by index in a standard Array?,$O(1)$
What is the time complexity of accessing an element by index in a Singly Linked List?,$O(n)$
"In the coin weighing algorithm, how many groups should 9 coins be divided into to find the heavy fake in the fewest steps?",3 groups of 3 coins each.
How many weighing steps are required to find one heavy fake coin among 9 total using an optimal grouping strategy?,2 steps.
The coin weighing example demonstrates that proper data organization can reduce steps from $n$ to _____.,$\log n$
"What is the role of a ""Reference Variable"" in Python regarding Linked Lists?",It acts as a pointer by storing the memory address of a node object.
"In SLL deletion, what instruction is used to stop the loop once the target node is found and removed?",`break`
"Which SLL operation requires the most logic to handle ""corner cases"" like the start or end of the list?",Deletion
What happens to the memory of a node that is no longer pointed to by any part of a Linked List?,It becomes eligible for garbage collection as it is no longer accessible.
Why does a linear search have an average complexity of $O(n)$ even though the average comparisons are $\frac{n+1}{2}$?,"In asymptotic notation, constant coefficients and smaller terms are ignored, leaving the highest order term $n$."
Google Maps identifies traffic by considering the number of mobile phones at a junction as a _____ on the road network.,Weight
"If searching for a key not in a list of $n$ elements, how many comparisons are made in a linear search?",$n$
"The ""Worst Case"" of an algorithm provides a _____ on the resources required.",Upper bound (Maximum guarantee)
