What is the general definition of 'sorting' in computer science?,"Arranging elements in a specific order, typically increasing or decreasing."
"If the minimum element found is already at index $i$, what happens during the swap step?","The element is swapped with itself, effectively remaining in the same position."
What is the primary difference between Bubble Sort and Selection Sort in terms of element movement?,"Bubble Sort moves elements through adjacent swaps, while Selection Sort selects one element and moves it directly to its target spot."
"In the Python range function `range(i, n)`, if $i=2$ and $n=5$, what values are generated?","2, 3, and 4."
True or False: Selection Sort can be implemented to find the maximum element and place it at the end to sort in ascending order.,True
"Selection Sort is an _____ algorithm, meaning it does not require significant extra memory beyond the original array.",in-place
Concept: Selection Sort Outer Loop,Definition: A loop that iterates through the array to define the current target position for the next sorted element.
Concept: Selection Sort Inner Loop,Definition: A loop that scans the unsorted portion of the array to find the index of the minimum (or maximum) value.
What is the state of an array of size 1 in Selection Sort?,It is always considered sorted.
"If the input list is `[15, 64, 25, 20]`, what is the first swap performed by Selection Sort for ascending order?","15 is compared with everything, and since it is the minimum, it swaps with itself (or remains at index 0)."
How does the size of the 'unsorted' portion of the array change with each iteration of the outer loop?,It decreases by one element.
"In Python, the line `n = len(a)` is used to determine the _____ of the list.",size (or length)
"If $i$ is the outer loop variable, what code snippet initializes the search for the minimum element's index?",`min_index = i`
What is the effect of the comparison `if a[min_index] > a[j]:` when sorting in ascending order?,It checks if a smaller element exists at index $j$ than the one currently at `min_index`.
"If $n$ is the total number of elements, the outer loop index $i$ typically runs from 0 to _____.",$n-1$
What is the total number of comparisons in Selection Sort for an array of size $n$?,Approximately $\frac{n(n-1)}{2}$.
"Which sorting algorithm is described by 'find the smallest, swap to the front, repeat'?",Selection Sort
"To sort in decreasing order by selecting the maximum, the comparison `if a[max_index] < a[j]:` would be used to update the _____.",maximum index
"In Selection Sort, if we are at the $k$-th iteration, how many elements are in the 'unsorted' part?",$n - k$ elements.
"In the Python code `a[i], a[min] = a[min], a[i]`, what happens if $i$ equals `min`?",No effective change occurs as the element is swapped with itself.
Selection Sort is characterized by having a high number of _____ but a low number of _____ compared to algorithms like Bubble Sort.,comparisons; swaps
How many swaps are performed in total in a single full execution of Selection Sort on $n$ elements?,At most $n-1$ swaps.
"If the array is `[5, 4, 3, 2, 1]`, what is the first swap in Selection Sort (ascending)?",5 and 1 are swapped.
"If the array is `[5, 4, 3, 2, 1]`, what is the second swap in Selection Sort (ascending)?",4 and 2 are swapped.
What variable typically marks the start of the unsorted sub-array in Selection Sort?,The outer loop index ($i$).
"In Selection Sort, does the 'min' variable update inside the inner loop or outer loop?",Inside the inner loop.
Does Selection Sort's performance improve if the array is partially sorted?,"No, it consistently performs the same number of comparisons regardless of initial order."
What is the value of the outer loop index $i$ during the final iteration of Selection Sort for an array of length $n$?,$n-2$ (since the last element is automatically sorted).
