What is the primary limitation of a Singly Linked List mentioned in the material?,It only allows forward traversal because nodes lack the address of the previous location.
"In the provided code, what happens if the `while` loop finishes and the data to delete still isn't found?","The function checks if the last node matches the value; if not, no deletion occurs."
"In a Circular Linked List, does the traversal ever naturally hit a `None` value?","No, it will loop back to the start infinitely unless a stop condition is set."
What is the 'Broad Perspective Thinking' mentioned by the instructor regarding DLLs?,Visualizing edge cases and multi-directional data relationships rather than just memorizing code.
"If `temp` is a new node, what does `temp.data = value` accomplish?",It assigns the input information to the data partition of the node.
"When iterating to the end of a DLL to append a node, which pointer is typically returned to the user or updated?",The `next` pointer of the final node found.
"In the 'insert in middle' function, if the search value is not found, what is the default behavior described?",The node is typically inserted at the end of the list.
Why is `T = self.head` used before starting a `while` loop for printing the list?,To ensure the traversal begins at the first node of the list.
What is the purpose of the `return` statement after a successful deletion in the provided code?,To exit the function immediately so no further logic or loops are executed.
"In a DLL, if you are at node `T` and want to access the node two positions ahead, what is the syntax?",`T.next.next`.
How does the 'Forward' button in a browser relate to Linked Lists?,It follows the `next` pointer in the Doubly Linked List of history nodes.
How does the 'Backward' button in a browser relate to Linked Lists?,It follows the `prev` pointer in the Doubly Linked List of history nodes.
"In a DLL, what is the result of `head.prev` for the first node?",`None`.
What does a circular list prevent that a standard list allows at its boundaries?,It prevents reaching a termination point (None).
